"";"n";"fig1_main_rows_removed";"fig1c_lr_cleaned";"mon6_dg";"nork62398";"p6_smith_dg";"shep_071795";"unknown26"
"150";149;1,00393700787402;0,0714285714285714;0,339285714285714;0,0833333333333333;0,3125;1,25454545454545;0,0989583333333333
"151";150;1,00393700787402;0,0714285714285714;0,351190476190476;0,05;0,381944444444444;1,21818181818182;0,119791666666667
"152";151;1,00393700787402;0,0384615384615385;0,434523809523809;0,05;0,423611111111111;1,23636363636364;0,151041666666667
"153";152;1,00393700787402;0,0274725274725275;0,541666666666667;0,116666666666667;0,395833333333333;1,29090909090909;0,0989583333333333
"154";153;1,00393700787402;0,0274725274725275;0,625;0,0833333333333333;0,368055555555556;1,30909090909091;0,046875
"155";154;1,00393700787402;0,0604395604395604;0,625;0,05;0,395833333333333;1,30909090909091;0,109375
"156";155;1,00393700787402;0,0824175824175824;0,636904761904762;0,05;0,395833333333333;1,30909090909091;0,130208333333333
"157";156;1,00393700787402;0,0934065934065934;0,672619047619048;0,05;0,340277777777778;1,23636363636364;0,109375
"158";157;1,00393700787402;0,137362637362637;0,744047619047619;0,05;0,298611111111111;1,2;0,109375
"159";158;1,00393700787402;0,148351648351648;0,767857142857143;0,0166666666666667;0,326388888888889;1,2;0,078125
"160";159;1,00393700787402;0,115384615384615;0,791666666666667;0,0166666666666667;0,381944444444444;1,25454545454545;0,0989583333333333
"161";160;1,00393700787402;0,126373626373626;0,791666666666667;0,0166666666666667;0,368055555555556;1,29090909090909;0,140625
"162";161;1,00393700787402;0,0934065934065934;0,791666666666667;0,0166666666666667;0,381944444444444;1,30909090909091;0,171875
"163";162;1,00393700787402;0,0494505494505495;0,791666666666667;0,05;0,409722222222222;1,30909090909091;0,161458333333333
"164";163;1,00393700787402;0,0164835164835165;0,803571428571429;0,0833333333333333;0,451388888888889;1,30909090909091;0,151041666666667
"165";164;1,00393700787402;0,00549450549450549;0,81547619047619;0,05;0,506944444444444;1,25454545454545;0,130208333333333
"166";165;1,00393700787402;0,0164835164835165;0,803571428571429;0,05;0,534722222222222;1,12727272727273;0,130208333333333
"167";166;1,00393700787402;0,0274725274725275;0,81547619047619;0,116666666666667;0,479166666666667;1,05454545454545;0,119791666666667
